word_id,image_path,segmentation_result,transcription,word_length
a01-000u-00-00,data/IAM/words/a01/a01-000u/a01-000u-00-00.png,ok,A,1
a01-000u-00-01,data/IAM/words/a01/a01-000u/a01-000u-00-01.png,ok,MOVE,4
a01-000u-00-02,data/IAM/words/a01/a01-000u/a01-000u-00-02.png,ok,to,2
a01-000u-00-03,data/IAM/words/a01/a01-000u/a01-000u-00-03.png,ok,stop,4
a01-000u-00-04,data/IAM/words/a01/a01-000u/a01-000u-00-04.png,ok,Mr.,3
a01-000u-00-05,data/IAM/words/a01/a01-000u/a01-000u-00-05.png,ok,Gaitskell,9
a01-000u-00-06,data/IAM/words/a01/a01-000u/a01-000u-00-06.png,ok,from,4
a01-000u-01-00,data/IAM/words/a01/a01-000u/a01-000u-01-00.png,ok,nominating,10
a01-000u-01-01,data/IAM/words/a01/a01-000u/a01-000u-01-01.png,ok,any,3
a01-000u-01-02,data/IAM/words/a01/a01-000u/a01-000u-01-02.png,ok,more,4
a01-000u-01-03,data/IAM/words/a01/a01-000u/a01-000u-01-03.png,ok,Labour,6
a01-000u-01-04,data/IAM/words/a01/a01-000u/a01-000u-01-04.png,ok,life,4
a01-000u-01-05,data/IAM/words/a01/a01-000u/a01-000u-01-05.png,ok,Peers,5
a01-000u-02-00,data/IAM/words/a01/a01-000u/a01-000u-02-00.png,ok,is,2
a01-000u-02-01,data/IAM/words/a01/a01-000u/a01-000u-02-01.png,ok,to,2
a01-000u-02-02,data/IAM/words/a01/a01-000u/a01-000u-02-02.png,ok,be,2
a01-000u-02-03,data/IAM/words/a01/a01-000u/a01-000u-02-03.png,ok,made,4
a01-000u-02-04,data/IAM/words/a01/a01-000u/a01-000u-02-04.png,ok,at,2
a01-000u-02-05,data/IAM/words/a01/a01-000u/a01-000u-02-05.png,ok,a,1
a01-000u-02-06,data/IAM/words/a01/a01-000u/a01-000u-02-06.png,ok,meeting,7
a01-000u-02-07,data/IAM/words/a01/a01-000u/a01-000u-02-07.png,ok,of,2
a01-000u-02-08,data/IAM/words/a01/a01-000u/a01-000u-02-08.png,ok,Labour,6
a01-000u-03-00,data/IAM/words/a01/a01-000u/a01-000u-03-00.png,err,M Ps,4
a01-000u-03-01,data/IAM/words/a01/a01-000u/a01-000u-03-01.png,err,tomorrow,8
a01-000u-03-02,data/IAM/words/a01/a01-000u/a01-000u-03-02.png,err,.,1
a01-000u-03-03,data/IAM/words/a01/a01-000u/a01-000u-03-03.png,err,Mr.,3
a01-000u-03-04,data/IAM/words/a01/a01-000u/a01-000u-03-04.png,err,Michael,7
a01-000u-03-05,data/IAM/words/a01/a01-000u/a01-000u-03-05.png,err,Foot,4
a01-000u-03-06,data/IAM/words/a01/a01-000u/a01-000u-03-06.png,err,has,3
a01-000u-04-00,data/IAM/words/a01/a01-000u/a01-000u-04-00.png,ok,put,3
a01-000u-04-01,data/IAM/words/a01/a01-000u/a01-000u-04-01.png,ok,down,4
a01-000u-04-02,data/IAM/words/a01/a01-000u/a01-000u-04-02.png,ok,a,1
a01-000u-04-03,data/IAM/words/a01/a01-000u/a01-000u-04-03.png,ok,resolution,10
a01-000u-04-04,data/IAM/words/a01/a01-000u/a01-000u-04-04.png,ok,on,2
a01-000u-04-05,data/IAM/words/a01/a01-000u/a01-000u-04-05.png,ok,the,3
a01-000u-04-06,data/IAM/words/a01/a01-000u/a01-000u-04-06.png,ok,subject,7
a01-000u-05-00,data/IAM/words/a01/a01-000u/a01-000u-05-00.png,err,and,3
a01-000u-05-01,data/IAM/words/a01/a01-000u/a01-000u-05-01.png,err,he,2
a01-000u-05-02,data/IAM/words/a01/a01-000u/a01-000u-05-02.png,err,is,2
a01-000u-05-03,data/IAM/words/a01/a01-000u/a01-000u-05-03.png,err,to,2
a01-000u-05-04,data/IAM/words/a01/a01-000u/a01-000u-05-04.png,err,be,2
a01-000u-05-05,data/IAM/words/a01/a01-000u/a01-000u-05-05.png,err,backed,6
a01-000u-05-06,data/IAM/words/a01/a01-000u/a01-000u-05-06.png,err,by,2
a01-000u-05-07,data/IAM/words/a01/a01-000u/a01-000u-05-07.png,err,Mr.,3
a01-000u-05-08,data/IAM/words/a01/a01-000u/a01-000u-05-08.png,err,Will,4
a01-000u-06-00,data/IAM/words/a01/a01-000u/a01-000u-06-00.png,ok,Griffiths,9
a01-000u-06-01,data/IAM/words/a01/a01-000u/a01-000u-06-01.png,ok,",",1
a01-000u-06-02,data/IAM/words/a01/a01-000u/a01-000u-06-02.png,ok,M P,3
a01-000u-06-03,data/IAM/words/a01/a01-000u/a01-000u-06-03.png,ok,for,3
a01-000u-06-04,data/IAM/words/a01/a01-000u/a01-000u-06-04.png,ok,Manchester,10
a01-000u-06-05,data/IAM/words/a01/a01-000u/a01-000u-06-05.png,ok,Exchange,8
a01-000u-06-06,data/IAM/words/a01/a01-000u/a01-000u-06-06.png,ok,.,1
a01-000x-00-00,data/IAM/words/a01/a01-000x/a01-000x-00-00.png,ok,A,1
a01-000x-00-01,data/IAM/words/a01/a01-000x/a01-000x-00-01.png,ok,MOVE,4
